2019-06-17 23:21:38,897 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 23:21:39,465 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b12d09a2-d4b5-4f33-85c0-8d78db89a48b, Nodes: afb41310-9cb4-41cb-bdaf-ec1d6ac05e2b{ip: 33.138.77.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,466 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 546c7a3f-0df1-4000-976a-07dc716a93e3, Nodes: fe58cf06-dd16-4df3-8b3d-a057635b6f11{ip: 226.231.84.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,466 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bee8b6ff-0c20-48f5-8aee-c3f05366e617, Nodes: 49a8e7a8-3a6d-4adb-bb58-7bd8d2f680b4{ip: 26.248.2.122, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,467 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3e8bfe4e-4ee8-420d-b0c9-8a5ae955911b, Nodes: 20cc0880-ce7c-439d-a817-166ee511b3bd{ip: 209.245.58.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,467 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 97dab883-de9d-4dc6-91c1-74f979adf0c8, Nodes: c174f75e-7c17-4192-aef8-7f7016ebbd1a{ip: 245.203.207.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,468 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 394d65c7-fb7e-48b0-b694-abce81d58658, Nodes: 25572972-a584-40b8-bc25-dbf543274fef{ip: 245.149.64.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,468 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 990f02e6-9df0-4266-8db2-1a30a817ae60, Nodes: 25572972-a584-40b8-bc25-dbf543274fef{ip: 245.149.64.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,469 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 92c76b50-3510-4199-a493-0979e1a3e8a7, Nodes: 49a8e7a8-3a6d-4adb-bb58-7bd8d2f680b4{ip: 26.248.2.122, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,469 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24dbbd0f-acac-4671-9d6a-319fda7e3696, Nodes: fe58cf06-dd16-4df3-8b3d-a057635b6f11{ip: 226.231.84.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,470 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d1be53dc-ba06-4c27-a741-7308c83d45bf, Nodes: bede538b-9582-4e22-9257-002f12dcf80c{ip: 169.186.220.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
