2019-06-16 20:40:12,666 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d358232e-3344-46dd-afae-c85570596833, Nodes: 1c58ff4c-5c5e-4906-abca-779776eec708{ip: 72.221.184.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,667 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d944b0e2-8e0d-46a4-94a7-f26829df05f9, Nodes: 147ce3aa-cd2a-4579-afb3-5d1a1825a7f3{ip: 48.94.148.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,667 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f527382b-30d5-493d-a567-9e37eaede73e, Nodes: 8d9a6367-96b3-4ebc-9d5c-64a63f690c6c{ip: 38.82.245.194, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,668 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 813cdb4e-1935-48d1-aef7-68e7a1e51c87, Nodes: bdd5c3ec-b617-46f5-a07e-a25252a0b0dc{ip: 194.228.95.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,668 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 45583c04-26a5-4fe4-b2c7-4267276b6b58, Nodes: 3f2bbe16-b47f-4101-a2e0-be372642f233{ip: 72.236.138.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,669 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6c6ac6d8-e610-4b07-b790-71b2b02a33fc, Nodes: de0b6018-945a-42bc-a9a3-dbd595c08bb6{ip: 227.187.31.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,669 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3359fe4-33d8-485e-b7b4-53f7a885f0d2, Nodes: 147ce3aa-cd2a-4579-afb3-5d1a1825a7f3{ip: 48.94.148.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,670 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 452cb7fb-e1c2-496e-bb0d-34f18ce09546, Nodes: 147ce3aa-cd2a-4579-afb3-5d1a1825a7f3{ip: 48.94.148.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,671 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1408972f-00d2-4e0c-9f86-90d70050d4d1, Nodes: 3f2bbe16-b47f-4101-a2e0-be372642f233{ip: 72.236.138.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,671 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b078edcb-d91a-4d13-992e-008720555d4c, Nodes: b519d7ea-69fd-4dad-9f48-2f29f6704fa9{ip: 67.31.80.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
