2019-06-17 12:43:39,821 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 12:43:40,410 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dd41f776-e14c-450c-9ec3-2a9870a87d9b, Nodes: e2fa6ec7-9ade-450a-a526-8b85d6fe4e69{ip: 107.182.27.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,410 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7595cc0d-19ff-4281-8e0b-516581e36eb7, Nodes: 6b35cac4-6a92-40d6-b832-4128f07e8903{ip: 141.166.201.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,411 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 55c48529-a8d6-4e3d-8c8a-200e17e5b150, Nodes: 5eaf6b53-007a-4f31-8120-5022767d9777{ip: 202.105.117.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,411 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 05382d2e-1658-40fb-9872-56b4fe5bc5af, Nodes: e1371ea0-f2a6-41e3-ac9b-f7aeab3673d6{ip: 149.199.24.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,412 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 06072c89-e482-47df-982f-dc7a20a8c3ce, Nodes: 3fb7cba0-e11b-4ffb-bf7d-8cdb356acf65{ip: 228.36.207.71, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,412 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 50fbd1ab-2501-4bd6-b51c-cc5ea89810e8, Nodes: 6b35cac4-6a92-40d6-b832-4128f07e8903{ip: 141.166.201.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,413 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 82109a31-2cbb-45ba-a740-d37efbd7ad85, Nodes: 3fb7cba0-e11b-4ffb-bf7d-8cdb356acf65{ip: 228.36.207.71, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,417 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f41cf497-ee62-4116-a0ba-cdcdcebe2727, Nodes: 5eaf6b53-007a-4f31-8120-5022767d9777{ip: 202.105.117.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,418 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7ca9905c-c469-4dcb-93c2-94d3cf6d6d75, Nodes: e2fa6ec7-9ade-450a-a526-8b85d6fe4e69{ip: 107.182.27.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,419 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 91c7e09b-3537-4860-8b40-6eec88ffbc80, Nodes: 44ddbece-55fa-4f09-b6f5-5566d7764b6b{ip: 102.228.232.193, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,419 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5c9f51c-2cb0-4ed6-b8d9-5620d6ce4de6, Nodes: 6b35cac4-6a92-40d6-b832-4128f07e8903{ip: 141.166.201.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,420 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3f7c8e9a-317c-4d18-b9f7-adc055dcc2a0, Nodes: e2fa6ec7-9ade-450a-a526-8b85d6fe4e69{ip: 107.182.27.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
