2019-06-15 07:05:01,421 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 07:05:01,657 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 07:05:01,658 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 07:05:02,049 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d025819c-7a27-49e0-8fa9-469a4acc63c0, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,049 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 36fd5759-c70c-4802-824b-5faefb91b528, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,050 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3404b32-e965-4a1b-81f5-4f504dc1a950, Nodes: 4139f9f4-d6a1-4a12-9bd5-f19fe1ed0515{ip: 73.229.255.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,051 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5318961-4a26-4fdd-bd01-4fb79fc7d482, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,051 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 996b377e-910b-430f-b2a5-a916e015beaa, Nodes: ffe4c332-56c8-4320-86fe-e4b1765cc358{ip: 235.167.213.5, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,052 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d96a4d70-0ee7-4a16-b57c-ffb5734c1174, Nodes: d881752f-ccc1-43eb-ad89-d3511c97e8b5{ip: 220.8.68.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,053 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fe691587-8c25-43b0-9186-7c183fdf5268, Nodes: 9410bada-d372-488d-96fc-7a8d9dd21553{ip: 170.135.236.20, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,058 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e474fc05-a527-481e-809d-2f57c0aa1714, Nodes: d881752f-ccc1-43eb-ad89-d3511c97e8b5{ip: 220.8.68.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,059 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 54f88832-6ec8-41e1-a198-0610e7aa362e, Nodes: 9410bada-d372-488d-96fc-7a8d9dd21553{ip: 170.135.236.20, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,059 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 05621ced-5064-412e-a6de-2113e18a5396, Nodes: 4139f9f4-d6a1-4a12-9bd5-f19fe1ed0515{ip: 73.229.255.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
